id_station;adresse;cp;fermeture;latitude;longitude;marque;nom;ouverture;pop;saufjour;services;ville
37420003;;37420;;47.2059;0.18464;Carrefour Contact;CARREFOUR CONTACT;;R;;;
79800002;;79800;;;;;;;A;;;
38121001;;38121;;45.47254;4.8291;Indépendant sans enseigne;STATION DU GRAND CHEMIN;;R;;;
57270002;;57270;;49.30446;6.16113;Total;SARL GMS AUTO;;R;;;
22640001;;22640;;48.42265;-2.44533;Total;MR BRIEUC Y.;;R;;;
29640001;;29640;;48.52027;-3.7162;Supermarchés Spar;SUPERMARCHE SPAR;;R;;;
77116001;;77760;;48.34689;2.58833;Leclerc;SODIPLEC ACHERES EST;;A;;;
14990002;;14990;;49.33369;-0.413107;Intermarché;SA LODA - INTERMARCHE;;R;;;
30160001;;30160;;44.29233;4.0934;Carrefour Market;Carrefour Market;;R;;;
23000007;;23000;;46.10058;1.83687;Avia;SARL REMERAND MANOUVRIER;;R;;;
3700002;;03700;;46.11763;3.41182;Total;Relais Lagarde Bellerive;;R;;;
25300010;;25300;;;;;;;R;;;
94220001;;94220;;48.82225;2.40285;Total;RELAIS DE CONFLANS;;R;;;
89100001;;89100;;48.18268;3.30852;Carrefour;CARREFOUR SENS MAILLOT;;R;;;
84660001;;84660;;43.86584;5.14004;Indépendant sans enseigne;SARL GARAGE PANAGIOTIS ET FILS;;R;;;
38500007;;38500;;;;;;;R;;;
82200009;;82200;;44.11408;1.11246;Intermarché;SAS MOIGERE;;R;;;
95400007;;95400;;49.00541;2.39731;Casino;CASINO VILLIERS LE BEL;;R;;;
37100002;;37100;;47.41243;0.70182;Simply Market;SIMPLY MARKET;;R;;;
7200003;;07200;;44.61444;4.40594;Avia;BRELY SARL;;R;;;
51430007;;51430;;;;;;;R;;;
16100004;;16100;;45.6864;-0.33798;Leclerc;COGNAC DISTRIBUTION;;R;;;
95100001;;95100;;;;;;;R;;;
88200016;;88200;;;;;;;R;;;
59470003;;59470;;50.88011;2.4704;Système U;SUPER U WORMHOUT;;R;;;
77330003;;77330;;48.75733;2.69966;Intermarché;INTERMARCHE OZOIR LA FERRIERE;;R;;;
41000006;;41000;;47.66553;1.38891;Esso;ESSO BLOIS MENARS;;A;;;
66420003;;66420;;42.82399;3.03486;Dyneff;SARL MONTANER ET FILS;;R;;;
36000013;;36000;;46.79124;1.71021;Total Access;RELAIS  TOTAL ACCESS DE TOUT VENT;;R;;;
63500004;;63500;;45.53597;3.25164;Total;RELAIS DE PEIX;;R;;;
62000014;;62000;;;;;;;R;;;
60800003;;60800;;49.2266;2.88425;Carrefour Market;Carrefour Market;;R;;;
86370004;;86370;;;;;;;R;;;
64470001;;64470;;43.11806;-0.86421;Elan;CARRERE ANNE MARIE;;R;;;
77170009;;77170;;48.70167;2.59864;Oil France;I.S. INDUSTRIES SERVICES;;R;;;
33240010;;33240;;;;;;;A;;;
6000006;;06000;;43.70723;7.25597;BP;BP NICE GAMBETTA;;R;;;
58290002;;58290;;;;;;;R;;;
86140001;;86140;;46.81651;0.3314;Total;SARL GGE COUTON;;R;;;
92140004;;92140;;;;;;;R;;;
4130002;;04130;;43.84289;5.85142;Total;RELAIS  TOTAL DE MANOSQUE;;A;;;
91380003;;91380;;;;;;;R;;;
67480002;;67480;;48.82292;8.03104;Leclerc;E.LECLERC EXPRESS;;R;;;
55200004;;55200;;48.75621;5.58546;Intermarché;INTERMARCHE COMMERCY;;R;;;
69120006;;69120;;45.76772;4.9354;Indépendant sans enseigne;GARIBALDI AUTOMOBILES;;R;;;
93800004;;93800;;;;;;;R;;;
73290003;;73290;;45.59352;5.88594;Agip;AGIP LA MOTTE SERVOLEX;;R;;;
76116001;;76116;;49.4754;1.27101;Total;DEMAREST;;R;;;
2880001;;02880;;49.39825;3.35632;Roady;AUTOPIECE;;R;;;
31140008;;31140;;43.69036;1.45153;Système U;SUPER U FONBEAUZARD;;R;;;
51100021;;51100;;;;;;;R;;;
56260001;;56260;;47.72779;-3.38207;Leclerc;LARDIS;;R;;;
77230006;;77230;;;;;;;R;;;
38530003;;38580;;;;;;;R;;;
62280002;;62280;;50.73653;1.62216;Carrefour Market;Carrefour Market;;R;;;
76100001;;76100;;;;;;;R;;;
37320004;;37320;;47.28463;0.780037;Auchan;Easy marché;;R;;;
69800009;;69800;;45.69556;4.94586;Indépendant sans enseigne;Clinic'auto;;R;;;
12400002;;12400;;43.95711;2.86998;Total;EOR ST AFFRIQUE BIROT;;R;;;
69100020;;69100;;45.77084;4.86624;BP;BP VILLEURBANNE DES CHARMETTES;;R;;;
75017007;;75017;;48.89592;2.31056;Total;RELAIS BATIGNOLLES;;R;;;
68520001;;68520;;47.71714;7.13879;Total;RELAIS DIEFMATTEN;;A;;;
25220001;;25220;;;;;;;R;;;
79000013;;79000;;;;;;;R;;;
62270002;;62270;;50.27748;2.29229;Carrefour Market;Carrefour Market;;R;;;
26270002;;26270;;44.75995;4.83518;Elan;GARAGE LAVERGNE FRERES;;R;;;
82160002;;82160;;44.2314;1.75828;Indépendant sans enseigne;SARL LE RELAIS DU CAUSSE;;R;;;
77950001;;77950;;48.55275;2.67092;Carrefour Market;Carrefour Market;;R;;;
30300002;;30300;;43.81137;4.63528;Total Access;RELAIS BEAUCAIRE;;R;;;
66240002;;66240;;42.71686;2.84646;Dyneff;DYNEFF;;R;;;
59920001;;59920;;50.4027;3.66865;Carrefour Market;Carrefour Market;;R;;;
66300006;;66300;;;;;;;A;;;
57190001;;57190;;49.31759;6.11436;Carrefour Market;Carrefour Market;;R;;;
25800002;;25800;;47.14831;6.33586;Leclerc;E.LECLERC  VALDAHON;;R;;;
91180004;;91180;;;;;;;R;;;
